input_index,input_label,input_url,normalized_input_url,canonical_name,canonical_official_url,canonical_repository_url,existing_catalog_id,decision,resulting_catalog_id,duplicate_of_input_index,categories,license_model,license_spdx,status,needs_review,primary_evidence,notes
52,WSO2 API Platform repository,https://github.com/wso2/api-platform,https://github.com/wso2/api-platform,WSO2 API Platform,https://wso2.com/api-platform/,https://github.com/wso2/api-platform,,SKIP_DUPLICATE,wso2-api-platform,51,kubernetes-networking-storage-addons,oss,Apache-2.0,active,false,https://github.com/wso2/api-platform;https://github.com/wso2/api-platform/blob/main/LICENSE;https://wso2.com/api-platform/;https://github.com/wso2/api-platform/blob/main/README.md;https://wso2.com/subscription/,"Same semantic identity as occurrence 51; site/repository, locale, or tracking variant. One site/upstream identity. Apache source distribution and paid supported production/managed offerings distinguished; commercial_offering does not imply all hosted service terms are Apache."
53,Kilo,https://kilo.ai/,https://kilo.ai/,Kilo Code,https://kilo.ai/,https://github.com/Kilo-Org/kilocode,,ADD,kilo,,developer-experience-local-environments,oss,MIT,active,false,https://github.com/Kilo-Org/kilocode;https://github.com/Kilo-Org/kilocode/blob/main/LICENSE;https://kilo.ai/;https://github.com/Kilo-Org/kilocode/blob/main/README.md;https://github.com/Kilo-Org/kilocode/commit/b5a7d62437d4cbe7ddd1d9a1622934210f1157e9,Operational adoption: You want agent-assisted work on infrastructure repositories and can govern model access and command execution. Upstream commit observed 2026-09-08T13:41:56Z; archived=false.
54,Ironic Bare Metal,https://ironicbaremetal.org/,https://ironicbaremetal.org/,OpenStack Ironic,https://ironicbaremetal.org/,https://opendev.org/openstack/ironic,,ADD,ironic,,virtualization-bare-metal-homelab,oss,Apache-2.0,active,false,https://github.com/openstack/ironic;https://github.com/openstack/ironic/blob/master/LICENSE;https://ironicbaremetal.org/;https://github.com/openstack/ironic/blob/master/README.rst;https://github.com/openstack/ironic/commit/059613bb56a847ec0211c1e90a4e23c2b9cb4ad2,Canonical development is OpenDev; official GitHub mirror supplies readable README and licence evidence. Mirror archived state is not assigned to the OpenDev URL. Upstream commit observed 2026-09-04T18:51:12Z; archived=false.
55,KubeVirtBMC,https://docs.kubevirtbmc.io/,https://docs.kubevirtbmc.io/,KubeVirtBMC,https://docs.kubevirtbmc.io/,https://github.com/kubevirtbmc/kubevirtbmc,,ADD,kubevirtbmc,,virtualization-bare-metal-homelab,oss,Apache-2.0,active,false,https://github.com/kubevirtbmc/kubevirtbmc;https://github.com/kubevirtbmc/kubevirtbmc/blob/main/LICENSE;https://docs.kubevirtbmc.io/;https://github.com/kubevirtbmc/kubevirtbmc/commit/1dfe6ecece38a79cfdf3b75df1356d3de6beba9f,Operational adoption: You need existing bare-metal provisioning tools to control KubeVirt VMs through BMC protocols. Upstream commit observed 2026-09-04T09:51:10Z; archived=false.
56,Harvester Seeder,https://github.com/harvester/seeder,https://github.com/harvester/seeder,Harvester Seeder,,https://github.com/harvester/seeder,,ADD,harvester-seeder,,virtualization-bare-metal-homelab,oss,Apache-2.0,active,false,https://github.com/harvester/seeder;https://github.com/harvester/seeder/blob/main/LICENSE;https://github.com/harvester/seeder/commit/dec385c67f3fc08b931efe53cdc5b36e0d8df5fd,Operational adoption: You provision Harvester hosts and can supply the documented layer-2 network and Tinkerbell prerequisites. Upstream commit observed 2026-09-04T04:19:25Z; archived=false.
57,Tinkerbell,https://tinkerbell.org/,https://tinkerbell.org/,Tinkerbell,https://tinkerbell.org/,https://github.com/tinkerbell/tinkerbell,,ADD,tinkerbell,,virtualization-bare-metal-homelab,oss,Apache-2.0,active,false,https://github.com/tinkerbell/tinkerbell;https://github.com/tinkerbell/tinkerbell/blob/main/LICENSE;https://tinkerbell.org/;https://github.com/tinkerbell/tinkerbell/blob/main/README.md;https://github.com/tinkerbell/tinkerbell/commit/733792cc0e07ba01b7ae82eae989c5935537ddda,Operational adoption: You need repeatable physical-host provisioning and can operate the required boot and management services. Upstream commit observed 2026-09-02T21:14:44Z; archived=false.
58,Python,https://www.python.org/,https://www.python.org/,Python,https://www.python.org/,https://github.com/python/cpython,,ADD,python,,foundations-linux-scripting,oss,,active,false,https://github.com/python/cpython;https://github.com/python/cpython/blob/main/LICENSE;https://www.python.org/;https://github.com/python/cpython/blob/main/README.rst;https://github.com/python/cpython/commit/024b6bceb1b1b3c52ccaa431f154d28d94b0bef5,"Python and its CPython reference implementation are one operational identity. Licence history is composite, so no simplified whole-distribution SPDX. Upstream commit observed 2026-09-08T10:22:45Z; archived=false. Independent identity/SPDX review: one Python language/runtime adoption identity with CPython as the canonical implementation. LICENSE preserves PSF and historical BeOpen/CNRI/CWI terms; a simple whole-distribution SPDX would hide the composite grants."
59,CPython,https://github.com/python/cpython?utm_source=chatgpt.com,https://github.com/python/cpython,Python,https://www.python.org/,https://github.com/python/cpython,,SKIP_DUPLICATE,python,58,foundations-linux-scripting,oss,,active,false,https://github.com/python/cpython;https://github.com/python/cpython/blob/main/LICENSE;https://www.python.org/;https://github.com/python/cpython/blob/main/README.rst,"Same semantic identity as occurrence 58; site/repository, locale, or tracking variant. Python and its CPython reference implementation are one operational identity. Licence history is composite, so no simplified whole-distribution SPDX."
60,PowerShell,https://learn.microsoft.com/fr-fr/powershell/,https://learn.microsoft.com/fr-fr/powershell/,PowerShell,https://learn.microsoft.com/en-us/powershell/,https://github.com/PowerShell/PowerShell,,ADD,powershell,,foundations-linux-scripting,oss,MIT,active,false,https://github.com/PowerShell/PowerShell;https://github.com/PowerShell/PowerShell/blob/master/LICENSE.txt;https://learn.microsoft.com/en-us/powershell/;https://github.com/PowerShell/PowerShell/commit/b664c2e026d1610e9b5a6cc5b14d3c86aae9ab81,Operational adoption: You automate Windows or cross-platform infrastructure using PowerShell modules and structured objects. Upstream commit observed 2026-09-04T17:20:53Z; archived=false.
61,Go,https://go.dev/,https://go.dev/,Go,https://go.dev/,https://github.com/golang/go,,ADD,go,,foundations-linux-scripting,oss,BSD-3-Clause,active,false,https://github.com/golang/go;https://github.com/golang/go/blob/master/LICENSE;https://go.dev/;https://github.com/golang/go/blob/master/README.md;https://github.com/golang/go/commit/16516099d7ef57ec0a3f5d176cf530f8e20db060,"Operational adoption: You develop operational services or CLIs and want compiled deployment artifacts with an integrated toolchain. Upstream commit observed 2026-09-08T14:29:19Z; archived=false. Independent repository review: GitHub golang/go is the official read mirror; README identifies go.googlesource.com/go as the canonical writable upstream. The mirror is retained as authoritative source evidence, not a separate Go identity."
62,Traefik,https://traefik.io/traefik,https://traefik.io/traefik,Traefik Proxy,https://traefik.io/traefik,https://github.com/traefik/traefik,,ADD,traefik,,kubernetes-networking-storage-addons,oss,MIT,active,false,https://github.com/traefik/traefik;https://github.com/traefik/traefik/blob/master/LICENSE.md;https://traefik.io/traefik;https://github.com/traefik/traefik/blob/master/README.md;https://github.com/traefik/traefik/commit/d48621ce0b6fd221b20bdb6c22e652e7498e5db6,Operational adoption: You need ingress routing that follows container or Kubernetes service changes. Upstream commit observed 2026-09-04T09:25:44Z; archived=false. Existing networking category is the closest available home; a general API/networking taxonomy gap is deferred without adding categories.
63,Apache HTTP Server,https://httpd.apache.org/,https://httpd.apache.org/,Apache HTTP Server,https://httpd.apache.org/,https://github.com/apache/httpd,,ADD,apache-http-server,,foundations-linux-scripting,oss,Apache-2.0,active,false,https://github.com/apache/httpd;https://github.com/apache/httpd/blob/trunk/LICENSE;https://httpd.apache.org/;https://github.com/apache/httpd/blob/trunk/README.md;https://github.com/apache/httpd/commit/42e7013314d9cfe08ed71ce654a5666a28743464,Operational adoption: You operate web services that benefit from Apache modules and explicit server configuration. Upstream commit observed 2026-09-08T07:42:28Z; archived=false.
64,Apache ZooKeeper,https://zookeeper.apache.org/,https://zookeeper.apache.org/,Apache ZooKeeper,https://zookeeper.apache.org/,https://github.com/apache/zookeeper,,ADD,apache-zookeeper,,databases-caching-data-infrastructure,oss,Apache-2.0,active,false,https://github.com/apache/zookeeper;https://github.com/apache/zookeeper/blob/master/LICENSE.txt;https://zookeeper.apache.org/;https://github.com/apache/zookeeper/blob/master/README.md;https://github.com/apache/zookeeper/commit/3c5e973d196e3ca2dbad2580667d60bac3c1b57e,Operational adoption: You operate software requiring ZooKeeper and can maintain a quorum with appropriate persistence and monitoring. Upstream commit observed 2026-09-03T18:32:11Z; archived=false.
65,Apache Cassandra,https://cassandra.apache.org/_/index.html,https://cassandra.apache.org/_/index.html,Apache Cassandra,https://cassandra.apache.org/,https://github.com/apache/cassandra,,ADD,apache-cassandra,,databases-caching-data-infrastructure,oss,Apache-2.0,active,false,https://github.com/apache/cassandra;https://github.com/apache/cassandra/blob/trunk/LICENSE.txt;https://cassandra.apache.org/;https://github.com/apache/cassandra/blob/trunk/README.asc;https://github.com/apache/cassandra/commit/38a625b21a028f845f16f6c0e7bc10ecf6914cb8,Operational adoption: You need partitioned data with multi-node replication and can design queries and consistency choices explicitly. Upstream commit observed 2026-09-08T07:37:18Z; archived=false.
66,Microsoft .NET,https://dotnet.microsoft.com/fr-fr/,https://dotnet.microsoft.com/fr-fr/,.NET,https://dotnet.microsoft.com/,https://github.com/dotnet/runtime,,ADD,dotnet,,foundations-linux-scripting,oss,MIT,active,false,https://github.com/dotnet/runtime;https://github.com/dotnet/runtime/blob/main/LICENSE.TXT;https://dotnet.microsoft.com/;https://github.com/dotnet/runtime/blob/main/README.md;https://github.com/dotnet/runtime/commit/040defaa3b808c418df16029e98c5af3b5273583,Operational adoption: You operate .NET services or build automation in its ecosystem and can track supported runtime releases. Upstream commit observed 2026-09-08T13:47:47Z; archived=false.
67,Apache Tomcat,https://tomcat.apache.org/,https://tomcat.apache.org/,Apache Tomcat,https://tomcat.apache.org/,https://github.com/apache/tomcat,,ADD,apache-tomcat,,foundations-linux-scripting,oss,Apache-2.0,active,false,https://github.com/apache/tomcat;https://github.com/apache/tomcat/blob/main/LICENSE;https://tomcat.apache.org/;https://github.com/apache/tomcat/blob/main/README.md;https://github.com/apache/tomcat/commit/e899532f78e9356fcb1b4c6ded430490727e3133,"Operational adoption: You deploy servlet applications and can align Java, Jakarta API, and Tomcat release compatibility. Upstream commit observed 2026-09-08T08:38:30Z; archived=false."
68,Apache HBase,https://hbase.apache.org/,https://hbase.apache.org/,Apache HBase,https://hbase.apache.org/,https://github.com/apache/hbase,,ADD,apache-hbase,,databases-caching-data-infrastructure,oss,Apache-2.0,active,false,https://github.com/apache/hbase;https://github.com/apache/hbase/blob/master/LICENSE.txt;https://hbase.apache.org/;https://github.com/apache/hbase/blob/master/README.md;https://github.com/apache/hbase/commit/03d2429dee20594631b4156d646a0d0c7b6c813f,Operational adoption: You need large sparse tables with random access and can operate the underlying distributed storage ecosystem. Upstream commit observed 2026-09-08T10:29:22Z; archived=false.
69,MariaDB,https://mariadb.org/,https://mariadb.org/,MariaDB Server,https://mariadb.org/,https://github.com/MariaDB/server,,ADD,mariadb-server,,databases-caching-data-infrastructure,oss,GPL-2.0-only,active,false,https://github.com/MariaDB/server;https://github.com/MariaDB/server/blob/main/COPYING;https://mariadb.org/;https://github.com/MariaDB/server/blob/main/README.md,"Operational adoption: You need a self-managed SQL database and can validate application, replication, and backup compatibility. Upstream commit observed 2026-09-08T04:12:46Z; archived=false. Independent review: README explicitly specifies GPLv2 without the any-later-version clause; added GPL-2.0-only for MariaDB Server, not its separately licensed dependencies."
70,Ocelot API Gateway,https://ocelot.readthedocs.io/en/latest/,https://ocelot.readthedocs.io/en/latest/,Ocelot,https://ocelot.readthedocs.io/en/latest/,https://github.com/ThreeMammals/Ocelot,,ADD,ocelot,,kubernetes-networking-storage-addons,oss,MIT,active,false,https://github.com/ThreeMammals/Ocelot;https://github.com/ThreeMammals/Ocelot/blob/develop/LICENSE.md;https://ocelot.readthedocs.io/en/latest/;https://github.com/ThreeMammals/Ocelot/commit/d1f22d930430410bfd0233f5e9e4f92980cf7df0,Operational adoption: You build a .NET-hosted gateway and want routing behaviour integrated into your application deployment. Upstream commit observed 2026-09-03T15:03:18Z; archived=false. Existing networking category is the closest available home; a general API/networking taxonomy gap is deferred without adding categories.
71,Linux kernel,https://www.kernel.org/,https://www.kernel.org/,Linux kernel,https://www.kernel.org/,https://github.com/torvalds/linux,,ADD,linux-kernel,,foundations-linux-scripting,oss,GPL-2.0-only WITH Linux-syscall-note,active,false,https://github.com/torvalds/linux;https://github.com/torvalds/linux/blob/master/COPYING;https://www.kernel.org/;https://github.com/torvalds/linux/blob/master/README;https://github.com/torvalds/linux/commit/28924df2a08f440c73991b83028032c901de2ae4,COPYING states GPL version 2 only with the Linux syscall exception; not a complete OS distribution. Upstream commit observed 2026-09-07T17:26:56Z; archived=false.
72,Ruby,https://www.ruby-lang.org/en/,https://www.ruby-lang.org/en/,Ruby,https://www.ruby-lang.org/en/,https://github.com/ruby/ruby,,ADD,ruby,,foundations-linux-scripting,oss,BSD-2-Clause OR Ruby,active,false,https://github.com/ruby/ruby;https://github.com/ruby/ruby/blob/master/COPYING;https://www.ruby-lang.org/en/;https://github.com/ruby/ruby/blob/master/README.md;https://github.com/ruby/ruby/commit/847c5ce1ac4049dc45bd5006754c7314da883ff9,Operational adoption: You maintain Ruby-based infrastructure tooling or services and can manage runtime and gem dependencies. Upstream commit observed 2026-09-08T10:42:56Z; archived=false.
73,Eclipse Jetty,https://jetty.org/,https://jetty.org/,Eclipse Jetty,https://jetty.org/,https://github.com/jetty/jetty.project,,ADD,eclipse-jetty,,foundations-linux-scripting,oss,EPL-2.0 OR Apache-2.0,active,false,https://github.com/jetty/jetty.project;https://github.com/jetty/jetty.project/blob/jetty-12.1.x/LICENSE;https://jetty.org/;https://github.com/jetty/jetty.project/blob/jetty-12.1.x/README.md;https://github.com/jetty/jetty.project/commit/9df38b9f3dab75f644e93685a8ee6be6ba5674ea,Operational adoption: You operate Java web services that need an embeddable or standalone servlet engine. Upstream commit observed 2026-09-08T09:13:32Z; archived=false.
74,Netflix Eureka,https://github.com/Netflix/eureka,https://github.com/Netflix/eureka,Eureka,,https://github.com/Netflix/eureka,,ADD,netflix-eureka,,kubernetes-networking-storage-addons,oss,Apache-2.0,active,false,https://github.com/Netflix/eureka;https://github.com/Netflix/eureka/blob/master/LICENSE;https://github.com/Netflix/eureka/blob/master/README.md,Operational adoption: You operate services built around Eureka discovery and can manage registry replication and client behaviour. Existing networking category is the closest available home; a general API/networking taxonomy gap is deferred without adding categories.
75,Google Seesaw,https://github.com/google/seesaw,https://github.com/google/seesaw,Seesaw,,https://github.com/google/seesaw,,ADD,seesaw,,foundations-linux-scripting,oss,Apache-2.0,active,false,https://github.com/google/seesaw;https://github.com/google/seesaw/blob/master/LICENSE;https://github.com/google/seesaw/blob/master/README.md;https://github.com/google/seesaw/commit/7bfd4f8c549121915f2bb639a07f7aa15b10df6d,Operational adoption: You operate an LVS load-balancing pair with the required shared layer-2 networking and routing expertise. Upstream commit observed 2026-07-11T10:05:15Z; archived=false.
76,Kong Gateway,https://developer.konghq.com/gateway/install/,https://developer.konghq.com/gateway/install/,Kong Gateway,https://developer.konghq.com/gateway/install/,https://github.com/Kong/kong,kong,UPDATE_EXISTING,kong,,kubernetes-networking-storage-addons,open-core,Apache-2.0,active,false,https://github.com/Kong/kong;https://github.com/Kong/kong/blob/master/LICENSE;https://developer.konghq.com/gateway/install/;https://github.com/Kong/kong/blob/master/README.md;https://github.com/Kong/kong/commit/3091de006da341d5f289d446a3d73875a14560e0,"Existing kong identity found by repository cross-field comparison; no kong-gateway duplicate created. Upstream commit observed 2026-09-03T06:09:05Z; archived=false. Fields changed: avoid_when, commercial_offering, documentation_url, license_spdx, maturity, name, needs_review, official_url, repository_archived, sources, status, summary, use_when, verified_on."
77,Chef Infra,https://www.chef.io/products/chef-infra,https://www.chef.io/products/chef-infra,Chef Infra,https://www.chef.io/products/chef-infra,https://github.com/chef/chef,chef,UPDATE_EXISTING,chef,,configuration-management,commercial,,active,false,https://github.com/chef/chef;https://github.com/chef/chef/blob/main/LICENSE;https://www.chef.io/products/chef-infra;https://github.com/chef/chef/blob/main/README.md;https://docs.chef.io/licensing/;https://github.com/chef/chef/commit/58f59709aec0d3f064bee532e0cf9178b86e225d,"Existing Chef ID preserved; commercial Chef Infra distribution distinguished from Apache upstream source. Upstream commit observed 2026-09-04T18:30:59Z; archived=false. Fields changed: avoid_when, commercial_offering, documentation_url, license_model, maturity, name, needs_review, official_url, repository_archived, sources, status, summary, use_when, verified_on."
78,Consul,https://developer.hashicorp.com/consul,https://developer.hashicorp.com/consul,HashiCorp Consul,https://developer.hashicorp.com/consul,https://github.com/hashicorp/consul,hashicorp-consul,UPDATE_EXISTING,hashicorp-consul,,kubernetes-networking-storage-addons,source-available,BUSL-1.1,active,false,https://github.com/hashicorp/consul;https://github.com/hashicorp/consul/blob/main/LICENSE;https://developer.hashicorp.com/consul;https://github.com/hashicorp/consul/blob/main/README.md;https://github.com/hashicorp/consul/commit/645a489cf70cf632d5b080257eab38127cf01c60,"Current source-available Consul licensing preserved and verified; not reclassified OSS from historical releases. Upstream commit observed 2026-09-08T12:50:52Z; archived=false. Fields changed: avoid_when, commercial_offering, documentation_url, license_spdx, maturity, needs_review, official_url, repository_archived, sources, status, use_when, verified_on."
79,IBM Cloud,https://www.ibm.com/fr-fr/products/cloud,https://www.ibm.com/fr-fr/products/cloud,IBM Cloud,https://www.ibm.com/products/cloud,,ibm-cloud,UPDATE_EXISTING,ibm-cloud,,cloud-platforms-management,commercial,,active,false,https://www.ibm.com/products/cloud,"Operational adoption: You need IBM cloud infrastructure and services with region, compliance, and support options validated for your workload. Fields changed: avoid_when, commercial_offering, license_model, maturity, needs_review, official_url, sources, status, use_when, verified_on."
80,Youki,https://youki-dev.github.io/youki/,https://youki-dev.github.io/youki/,youki,https://youki-dev.github.io/youki/,https://github.com/youki-dev/youki,,ADD,youki,,containers-image-tooling,oss,Apache-2.0,active,false,https://github.com/youki-dev/youki;https://github.com/youki-dev/youki/blob/main/LICENSE;https://youki-dev.github.io/youki/;https://github.com/youki-dev/youki/blob/main/README.md;https://github.com/youki-dev/youki/commit/a46e6a1f9e41417c84d6511ca6ac085fec0591d3,Operational adoption: You evaluate low-level container runtimes and can test OCI compatibility with your container stack. Upstream commit observed 2026-09-06T13:14:01Z; archived=false.
81,crun,https://github.com/containers/crun,https://github.com/containers/crun,crun,,https://github.com/containers/crun,,ADD,crun,,containers-image-tooling,oss,GPL-2.0-or-later,active,false,https://github.com/containers/crun;https://github.com/containers/crun/blob/main/COPYING;https://github.com/containers/crun/blob/main/README.md;https://github.com/containers/crun/blob/main/src/crun.c,Operational adoption: You need a lightweight low-level runtime compatible with your chosen container engine. Upstream commit observed 2026-09-04T09:29:24Z; archived=false. Independent review: src/crun.c explicitly grants GPL-2.0-or-later for the runtime executable. libcrun has separate LGPL terms; the runtime SPDX is not a whole-repository relicensing claim.
82,sofka,https://sofka.rs/,https://sofka.rs/,sofka,https://sofka.rs/,https://github.com/nklmilojevic/sofka,,ADD,sofka,,kubernetes-distributions-operations,oss,MIT OR Apache-2.0,active,false,https://github.com/nklmilojevic/sofka;https://github.com/nklmilojevic/sofka/blob/main/LICENSE-APACHE;https://sofka.rs/;https://github.com/nklmilojevic/sofka/blob/main/README.md;https://github.com/nklmilojevic/sofka/blob/main/LICENSE-MIT,"Operational adoption: You prefer interactive terminal-based resource, log, and event inspection across Kubernetes contexts. Upstream commit observed 2026-09-08T13:59:11Z; archived=false. Independent review: README offers MIT or Apache-2.0 at the adopter's option; both actual licence files verified."
83,Kestra,https://kestra.io/,https://kestra.io/,Kestra,https://kestra.io/,https://github.com/kestra-io/kestra,kestra,UPDATE_EXISTING,kestra,,workflow-automation-chatops,open-core,Apache-2.0,active,false,https://github.com/kestra-io/kestra;https://github.com/kestra-io/kestra/blob/develop/LICENSE;https://kestra.io/;https://github.com/kestra-io/kestra/blob/develop/README.md;https://kestra.io/enterprise;https://github.com/kestra-io/kestra/commit/6c2502ca96d61d895eaff196b7f82bc328b6d0a2,"Apache core and separately gated enterprise capabilities require open-core product modelling. Upstream commit observed 2026-09-08T15:18:28Z; archived=false. Fields changed: avoid_when, commercial_offering, documentation_url, license_model, license_spdx, maturity, needs_review, official_url, repository_archived, repository_url, sources, status, summary, use_when, verified_on."
84,Paseo,https://paseo.sh/,https://paseo.sh/,Paseo,https://paseo.sh/,https://github.com/getpaseo/paseo,,ADD,paseo,,developer-experience-local-environments,oss,Apache-2.0,active,false,https://github.com/getpaseo/paseo;https://github.com/getpaseo/paseo/blob/main/LICENSE;https://paseo.sh/;https://github.com/getpaseo/paseo/blob/main/README.md;https://github.com/getpaseo/paseo/commit/da8c1b5c94e752b01d451645e5fa52aba2c1b2f0,Operational adoption: You need to follow local coding-agent sessions remotely and can secure the host and connection method. Upstream commit observed 2026-09-08T11:40:21Z; archived=false.
85,AgentsRoom Teams,https://agentsroom.dev/fr/features/teams,https://agentsroom.dev/fr/features/teams,AgentsRoom,https://agentsroom.dev/,,,ADD,agentsroom,,developer-experience-local-environments,commercial,,active,false,https://agentsroom.dev/;https://agentsroom.dev/en/pricing,"Teams is a feature of the AgentsRoom desktop application; one product record, not a Teams subproduct."
86,Cursor 3.0 changelog,https://cursor.com/fr/changelog/3-0,https://cursor.com/fr/changelog/3-0,Cursor,https://cursor.com,,cursor,UPDATE_EXISTING,cursor,,developer-experience-local-environments,commercial,,active,false,https://cursor.com/fr/changelog/3-0;https://cursor.com/pricing;https://cursor.com/docs,"Submitted changelog is evidence for the existing Cursor product, not a Cursor 3.0 record. Fields changed: avoid_when, commercial_offering, documentation_url, license_model, maturity, needs_review, sources, status, summary, use_when, verified_on."
87,Apache Superset,https://docs.superset.sh/overview,https://docs.superset.sh/overview,Superset (agent workspace),https://superset.sh/,https://github.com/superset-sh/superset,,ADD,superset-agent-workspace,,developer-experience-local-environments,source-available,Elastic-2.0,active,false,https://github.com/superset-sh/superset;https://github.com/superset-sh/superset/blob/main/LICENSE.md;https://superset.sh/;https://docs.superset.sh/overview;https://github.com/superset-sh/superset/commit/5f2e6bc853666ed67b53dd9c4b240cf4cb50af6e,"Input label and URL disagree: supplied docs belong to the Elastic-2.0 agent workspace, with separate paid offerings, not Apache Superset analytics. INPUT LABEL/URL MISMATCH: docs.superset.sh links superset-sh/superset, an agent workspace under Elastic-2.0. Reconciled the supplied URL identity; not Apache Superset analytics. Upstream commit observed 2026-09-08T07:35:35Z; archived=false."
88,Termic,https://termic.dev/docs/introduction/,https://termic.dev/docs/introduction/,Termic,https://termic.dev/,https://github.com/simion/termic,,ADD,termic,,developer-experience-local-environments,oss,AGPL-3.0-or-later,active,false,https://github.com/simion/termic;https://github.com/simion/termic/blob/main/LICENSE;https://termic.dev/;https://termic.dev/docs/introduction/;https://github.com/simion/termic/commit/133c4b3bbf90494c8b2c8130226325c6556cb2b6,Operational adoption: You coordinate agent-assisted changes across repositories and want integrated worktree and diff workflows. Upstream commit observed 2026-09-07T18:09:07Z; archived=false.
89,KubeUI,https://kubeui.com/,https://kubeui.com/,KubeUI,https://kubeui.com/,https://github.com/IvanJosipovic/KubeUI,,ADD,kubeui,,kubernetes-distributions-operations,oss,MIT,active,false,https://github.com/IvanJosipovic/KubeUI;https://github.com/IvanJosipovic/KubeUI/blob/main/LICENSE;https://kubeui.com/;https://github.com/IvanJosipovic/KubeUI/blob/main/README.md;https://github.com/IvanJosipovic/KubeUI/commit/ffba27967c5087db446bee4a1644792ef880a6e9,Operational adoption: You want a graphical workstation interface for inspecting and editing resources in existing clusters. Upstream commit observed 2026-08-17T06:36:01Z; archived=false.
90,Radar,https://radarhq.io/,https://radarhq.io/,Radar,https://radarhq.io/,https://github.com/skyhook-io/radar,,ADD,radar,,kubernetes-distributions-operations,oss,Apache-2.0,active,false,https://github.com/skyhook-io/radar;https://github.com/skyhook-io/radar/blob/main/LICENSE;https://radarhq.io/;https://github.com/skyhook-io/radar/blob/main/README.md,"Record covers the Apache-licensed Radar interface, with Radar Cloud noted as a separate paid offering boundary."
91,OIDC-Guard,https://github.com/IvanJosipovic/OIDC-Guard,https://github.com/IvanJosipovic/OIDC-Guard,OIDC-Guard,,https://github.com/IvanJosipovic/OIDC-Guard,,ADD,oidc-guard,,iam-secrets-certificates,oss,MIT,active,false,https://github.com/IvanJosipovic/OIDC-Guard;https://github.com/IvanJosipovic/OIDC-Guard/blob/main/LICENSE;https://github.com/IvanJosipovic/OIDC-Guard/blob/main/README.md;https://github.com/IvanJosipovic/OIDC-Guard/commit/98ba1ee2866f003ef8d6ef92ce3b93d66f5ec3cc,Operational adoption: You use a supported ingress controller and need per-ingress token validation rules. Upstream commit observed 2026-09-05T13:02:01Z; archived=false.
92,alertmanager-receiver-azdo,https://github.com/IvanJosipovic/alertmanager-receiver-azdo,https://github.com/IvanJosipovic/alertmanager-receiver-azdo,Alertmanager receiver for Azure DevOps,,https://github.com/IvanJosipovic/alertmanager-receiver-azdo,,ADD,alertmanager-receiver-azdo,,sre-incident-response-on-call,oss,MIT,active,false,https://github.com/IvanJosipovic/alertmanager-receiver-azdo;https://github.com/IvanJosipovic/alertmanager-receiver-azdo/blob/main/LICENSE;https://github.com/IvanJosipovic/alertmanager-receiver-azdo/blob/main/README.md;https://github.com/IvanJosipovic/alertmanager-receiver-azdo/commit/fadd20e9acd170476147ec929790563daeb69add,Operational adoption: Your incident workflow uses Azure DevOps work items and you can configure receiver authentication and field mapping. Upstream commit observed 2026-07-18T09:03:19Z; archived=false.
93,ACR-SyncTool,https://www.nuget.org/packages/ACR-SyncTool,https://www.nuget.org/packages/ACR-SyncTool,ACR-SyncTool,https://github.com/IvanJosipovic/ACR-SyncTool,https://github.com/IvanJosipovic/ACR-SyncTool,,ADD,acr-synctool,,artifact-package-management,oss,MIT,active,false,https://github.com/IvanJosipovic/ACR-SyncTool;https://github.com/IvanJosipovic/ACR-SyncTool/blob/main/LICENSE;https://github.com/IvanJosipovic/ACR-SyncTool/blob/main/README.md;https://github.com/IvanJosipovic/ACR-SyncTool/commit/06fb57aa65a3c2960d4979c8e448ac6c13d1c849,Operational adoption: You need to populate a restricted ACR from approved upstream registries using an authorized execution environment. Upstream commit observed 2026-08-12T09:58:08Z; archived=false.
94,KubernetesCRDModelGen,https://www.nuget.org/packages/KubernetesCRDModelGen,https://www.nuget.org/packages/KubernetesCRDModelGen,KubernetesCRDModelGen,https://github.com/IvanJosipovic/KubernetesCRDModelGen,https://github.com/IvanJosipovic/KubernetesCRDModelGen,,ADD,kubernetes-crd-model-gen,,developer-experience-local-environments,oss,MIT,active,false,https://github.com/IvanJosipovic/KubernetesCRDModelGen;https://github.com/IvanJosipovic/KubernetesCRDModelGen/blob/main/LICENSE;https://github.com/IvanJosipovic/KubernetesCRDModelGen/blob/main/README.md,Retained specifically for platform teams generating .NET Kubernetes CRD models; not classified as a cluster operator. Upstream commit observed 2026-09-03T05:08:22Z; archived=false. Independent scope review: includes a separately installable dotnet CLI and build-time source generator from CRD YAML. Platform teams adopt a reproducible controller-model generation step; stronger than a generic API binding or parser dependency.
